Date;Time;Severity;TID;This;Function;Message
2017/11/09;18:55:50.565;ERROR;17334;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:55:50.565;ERROR;17334;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:134 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::9186:dbbd:2a45:50c2 transportProtocol:UDP portDst:547 portSrc546 npackets:2 pktSize:160"
2017/11/09;18:55:50.773;ERROR;17515;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:55:50.774;ERROR;17515;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:315 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::25f5:ff:8bc9:3f18 transportProtocol:UDP portDst:547 portSrc546 npackets:2 pktSize:160"
2017/11/09;18:55:50.916;ERROR;17647;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:55:50.917;ERROR;17647;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:436 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::1cbd:1f2f:70b2:2e9 transportProtocol:UDP portDst:547 portSrc546 npackets:1 pktSize:160"
2017/11/09;18:55:52.309;ERROR;18221;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:55:52.309;ERROR;18221;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:1010 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::b56e:758f:d6e2:b79e transportProtocol:UDP portDst:547 portSrc546 npackets:4 pktSize:160"
2017/11/09;18:55:52.983;ERROR;18426;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
2017/11/09;18:55:52.983;ERROR;18426;0;TinsFlow::sendPackets@360;"[../libsimitar/TinsFlow.cpp] <Info> networkInterface:h1-eth0 FlowID:1215 etherProtocol:ETHERNET netProtocolICMPV6 netDst:ff02::1:2 netSrc:fe80::90c:4042:a1c4:8d5 transportProtocol:UDP portDst:547 portSrc546 npackets:1 pktSize:159"
2017/11/09;18:55:53.292;ERROR;18536;0;TinsFlow::sendPackets@358;"[../libsimitar/TinsFlow.cpp] Generic execution error:  Tins::invalid_socket_type: The provided socket type is invalid"
