Date;Time;Severity;TID;This;Function;Message
2017/10/19;19:31:39.498;DEBUG;24912;0;TinsFlow::sendPackets@154;"[../libsimitar/TinsFlow.cpp] [FlowId:24]: EthernetII/IP(192.168.1.2, 217.41.176.21)/ICMP/DNS/payload:0"
2017/10/19;19:31:39.498;DEBUG;24913;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:25]: EthernetII/IP(192.168.1.2, 83.130.238.168)/UDP(35990, 26744)/DNS/payload:0"
2017/10/19;19:31:39.498;DEBUG;24913;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:25]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:39.498;DEBUG;24912;0;TinsFlow::sendPackets@159;"[../libsimitar/TinsFlow.cpp] [FlowId:24]: PacketSender::ICMP_SOCKET"
2017/10/19;19:31:39.514;DEBUG;24910;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[22]"
2017/10/19;19:31:39.514;DEBUG;24914;0;TinsFlow::sendPackets@154;"[../libsimitar/TinsFlow.cpp] [FlowId:26]: EthernetII/IP(192.168.1.2, 217.41.176.118)/ICMP/DNS/payload:0"
2017/10/19;19:31:39.514;DEBUG;24914;0;TinsFlow::sendPackets@159;"[../libsimitar/TinsFlow.cpp] [FlowId:26]: PacketSender::ICMP_SOCKET"
2017/10/19;19:31:39.514;DEBUG;24911;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[23]"
2017/10/19;19:31:39.530;DEBUG;24913;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[25]"
2017/10/19;19:31:39.546;DEBUG;24912;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[24]"
2017/10/19;19:31:39.562;DEBUG;24914;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[26]"
2017/10/19;19:31:39.680;DEBUG;24915;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:27] -> onTime:1.20932 npackets:5 netInterface:h1-eth0"
2017/10/19;19:31:39.680;DEBUG;24915;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:27] -> npackets_mode15 npackets_mode2:0"
2017/10/19;19:31:39.680;DEBUG;24915;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:27]: EthernetII/IP(192.168.1.2, 190.44.165.86)/UDP(35990, 57549)/DNS/payload:68"
2017/10/19;19:31:39.680;DEBUG;24915;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:27]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:39.714;DEBUG;24915;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:27]: EthernetII/IP(192.168.1.2, 190.44.165.86)/UDP(35990, 57549)/DNS/payload:0"
2017/10/19;19:31:39.714;DEBUG;24915;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:27]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:39.754;DEBUG;24915;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[27]"
2017/10/19;19:31:39.890;DEBUG;24916;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:28] -> onTime:0.1 npackets:2 netInterface:h1-eth0"
2017/10/19;19:31:39.891;DEBUG;24916;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:28] -> npackets_mode12 npackets_mode2:0"
2017/10/19;19:31:39.891;DEBUG;24916;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:28]: EthernetII/IP(192.168.1.2, 212.72.49.142)/UDP(35990, 12350)/DNS/payload:64"
2017/10/19;19:31:39.891;DEBUG;24916;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:28]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:39.930;DEBUG;24916;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:28]: EthernetII/IP(192.168.1.2, 212.72.49.142)/UDP(35990, 12350)/DNS/payload:0"
2017/10/19;19:31:39.930;DEBUG;24916;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:28]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:39.982;DEBUG;24916;0;DummyFlow::flowStart@55;"[../libsimitar/DummyFlow.cpp] EndFlow[28]"
2017/10/19;19:31:40.091;DEBUG;24917;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:29] -> onTime:11.3137 npackets:2 netInterface:h1-eth0"
2017/10/19;19:31:40.091;DEBUG;24917;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:29] -> npackets_mode15 npackets_mode2:0"
2017/10/19;19:31:40.091;DEBUG;24917;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:29]: EthernetII/IP(192.168.1.2, 24.242.109.92)/UDP(35990, 44872)/DNS/payload:129"
2017/10/19;19:31:40.091;DEBUG;24917;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:29]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:40.114;DEBUG;24918;0;TinsFlow::flowGenerate@33;"[../libsimitar/TinsFlow.cpp] [flowId:30] -> onTime:11.3304 npackets:2 netInterface:h1-eth0"
2017/10/19;19:31:40.114;DEBUG;24918;0;TinsFlow::flowGenerate@36;"[../libsimitar/TinsFlow.cpp] [flowId:30] -> npackets_mode15 npackets_mode2:0"
2017/10/19;19:31:40.114;DEBUG;24918;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:30]: EthernetII/IP(192.168.1.2, 67.190.60.125)/UDP(35990, 3944)/DNS/payload:129"
2017/10/19;19:31:40.114;DEBUG;24918;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:30]: PacketSender::IP_UDP_SOCKET"
2017/10/19;19:31:40.142;DEBUG;24917;0;TinsFlow::sendPackets@138;"[../libsimitar/TinsFlow.cpp] [FlowId:29]: EthernetII/IP(192.168.1.2, 24.242.109.92)/UDP(35990, 44872)/DNS/payload:0"
2017/10/19;19:31:40.142;DEBUG;24917;0;TinsFlow::sendPackets@147;"[../libsimitar/TinsFlow.cpp] [FlowId:29]: PacketSender::IP_UDP_SOCKET"
